,id,context,question,answer0,answer1,answer2,answer3,label,pred_bert,logits_bert,pred_roberta,logits_roberta
993,3WA2XVDZEMF0M64ATQQICXK8P8RE6Q##3RRCEFRB7NARM0M6QE1F3BQX4JMB4F##A1I72NHC21347A##Blog_805757##q2_a1##31MCUE39BM0E3QCQ0HU8XVH8L623GI,I 'll be there till Monday . It 's sad that my first time there will be for Papi 's funeral but atleast I 'll get to see him one more time . I spent all of today with my parents at the passport place downtown .,What may happen after Monday ?,we will be flying to attend funeral,They will have grandpas burial,None of the above choices .,we will fly to see grandpa once more,1,3,[ 0.0784   0.08203 -2.59     1.173  ],0,[-18.143345 -25.365976 -26.974524 -25.8838  ]
1002,3IWA71V4TIE9S6VROVGA0M5F56F6XO##3L6L49WXW1VPXK5XP4A20PQ5TOI54R##A2LTOS0AZ3B28A##Blog_56775##q2_a1##39I4RL8QGLVDLIQ5K1H9S0LFEYHH46,"It was a quiet late afternoon weekday with about 4 other tables being occupied . Of course , apart from ordering coffee like The Fluffy ( espresso with milk and lots of foam ! ) ...... we could n't resist sharing a slice of Tiramisu ( RM14/USD4.20 ) which is usually the safest and yet boring choice when one has trouble deciding . The cake slice was rather messy and we were n't sure whether they meant to serve the cake with the strawberry stuffed into the side of the cake like that !",Why did they choose this cafe ?,They decided they wanted to have the Tiramisu and it was the best there .,They wanted to have the espresso The Fluffy .,None of the above choices .,They wanted to watch the fluffy drinks float by .,1,2,[-3.572 -7.61  -3.44  -5.156],0,[-25.998787 -27.292856 -26.139725 -30.475418]
1003,3P7RGTLO6EB4V88NFPIXQXZZ5Q7KA4##3PH3VY7DJMVZD0866YN1KLGRFPXZW5##A1S1K7134S2VUC##Blog_1546215##q1_a1##3DW3BNF1GJWJMK8R1TOQODSTO8Z8VN,I felt so incompetent today and I know I ' m so much better then that but this is what I want in life and I do n't know if I ' m working hard enough for it . I feel so dumb right now . I ended up doing consecutive trot rotations over a cross rail . Way to end a lesson when the other two girls were jumping 3 footers .,Will this girl go on and take more dressage riding lessons ?,"When a lesson ends with a trot over a rail , it is time to end that type of hobby .",When it seems like a struggle it is human nature to give up instantly .,"Dressage riding is what she wants in life , she will take more lessons .","When the work is easy , it is easy to take more lessons .",2,1,[-0.5186  3.463   0.3486 -1.007 ],1,[-21.078094 -19.322554 -23.237106 -29.566124]
1006,3MD8CKRQZZL1J5OMZF47K8OWQBVJRO##32Z9ZLUT1MI5H6ZA9QQK3KZ0HWBHOE##A2KYOM2ZGYDJGT##Blog_659563##q1_a1##39N6W9XWRF1FJT9EP2NYNPDLUAEGYO,"He turns the ignition and the engine grinds , jams a thumb at the cigarette lighter in the dashboard to heat it up . "" Shit , this is the stupidest deal I ' ve ever been on . Why could n't Yamamoto take this ? Why did the Tenth send us ?",What 's a possible reason he jammed a thumb at the cigarette lighter ?,Because he wanted to light a cigarette .,Because this is the stupidest deal he 's ever been on .,Because he turned on the ignition .,None of the above choices .,0,3,[-3.22  -5.895 -4.58  -2.889],3,[-27.276785 -28.61907  -31.610102 -25.943893]
1010,3I01FDIL6M67CZ79AT3VG2LB9XI2DA##3VFJCI1K40XUENWFHCP6CFS4D3XGR6##A2LTOS0AZ3B28A##Blog_414488##q1_a1##389A2A304QW55MXOF8G656YMK32C00,"I 'll never see his little white nose twitch anymore , never kiss his head goodbye , never tickle his ears or scratch his butt or feel his tiny tongue on my fingers again . I did n't get to see him as often as I wanted , but coming home will never be the same without him there to greet me . When I go home in two weeks , we 'll bury Charlie in Mom 's garden next to my guinea pig 's departed mom . I miss him terribly .",Why are they describing how much they will miss their pet ?,None of the above choices .,They want people to sympathize with them by telling them their Charlie dies .,They got to see him all the time but will miss him .,Their pet died and wo nt see them when they go home to mom 's .,3,2,[1.988 1.09  5.22  4.207],1,[-22.799196 -16.0865   -25.937778 -18.72504 ]
1013,3I01FDIL6M67CZ79AT3VG2LB9XI2DA##3VFJCI1K40XUENWFHCP6CFS4D3XGR6##A2LTOS0AZ3B28A##Blog_414488##q2_a1##3QTFNPMJC8WLYB058S2CRGVK1EYZNW,"I 'll never see his little white nose twitch anymore , never kiss his head goodbye , never tickle his ears or scratch his butt or feel his tiny tongue on my fingers again . I did n't get to see him as often as I wanted , but coming home will never be the same without him there to greet me . When I go home in two weeks , we 'll bury Charlie in Mom 's garden next to my guinea pig 's departed mom . I miss him terribly .",Why are they writing about Charlie ?,None of the above choices .,They are looking forward to burying him finally .,They just got told by their mom that Charlie passed away .,They will not miss his little twitchy nose .,2,1,[-1.122   3.008   0.7524 -2.424 ],1,[-25.329775 -21.341732 -21.73378  -31.690924]
1014,3BO3NEOQM0FDPDIZFMXLDHKMDV0IAR##3R0T90IZ1TAQ8L7WZFZBNKTIDNICGQ##AJ7NSZOAFP05U##Blog_12737##q1_a1##3087LXLJ6OUC8YHY6A67DCJPHIM0FV,"I did drool for a bit over the Heritage Stripe Blue diaper bag . It is a perfect size and fit tote . Of course , I would n't need the diaper pad , but otherwise , it fit comfortably over my shoulder , plus had gobs of pockets inside and out , and had a long strap that could be attached or not . If I was working full time , I would have purchased it for sure .",What may have been your reason for not getting the Heritage Stripe Blue diaper bag ?,It did n't come with a diaper pad .,"It was within my budget , but I had to wait for my paycheck from working .",It was n't within my budget .,None of the above choices .,2,1,[-2.717   1.3955 -1.275  -2.105 ],1,[-25.43666   -13.716819  -15.6505785 -25.819723 ]
1024,3O71U79SRD3IFHTR1ZT4I89IAKZMSE##31N2WW6R9U5BCAEPFZUS4UDLDMV3FK##A2KYOM2ZGYDJGT##Blog_1291728##q1_a1##3MJ28H2Y1GM59IGS2JV9H1OVR9HO5M,"I just had the worst Subway experience ever . I ordered the same exact thing that I always get , and I am allergic to onions . I know this , so I did n't ask for onions . I never do .",Why did I order the exact same thing I always get ?,Because I am allergic to onions .,Because I like how it tastes .,None of the above choices .,Because I did n't ask for onions .,1,0,[-1.042 -3.47  -1.866 -2.682],0,[-25.272621 -26.91669  -26.412718 -31.250341]
1027,3D3B8GE892PR1GVY0B95QJAETRDP9V##3RRCEFRB7NARM0M6QE1F3BQX5X9B4V##AJ7NSZOAFP05U##Blog_237276##q1_a1##3K3IX1W4S85K0O4ACFZ5EC96SAKPAD,"I work most weekends , whether it is for a shoot or doing post production . So it is extremely rare that I have a full Saturday and Sunday off as if I had a 9 - 5 job . Soooo what did I do with my copious 48 hours of free time ? Friday night , I went to yoga and then went home , climbed into bed and started reading a novel called Pope Joan about the 9th century woman who disguised herself as a man and became the Pope .",What may be your reason for doing Yoga and reading a novel on Friday ?,It is extremely rare for me to have a Friday off .,None of the above choices .,I did n't have work for the next two days .,I wanted to enjoy some free time before I worked for the next two days .,2,3,[-4.387 -3.676 -1.195  1.691],3,[-21.910852 -26.275064 -19.634998 -18.028545]
1029,3BO3NEOQM2VSJ2H6ZK9L5F8U5WSIAW##3DEL4X4EL90TSZ2Y4ET40V95NNOYX1##A1S1K7134S2VUC##Blog_1235555##q1_a1##31ODACBENWT90WRJTS0LZHTMJA9SQV,"I wonder where does all the hate comes from and that I would want this guy dead so much ... I felt like I was taken over by the demon for a moment . And I woke up ... Luckily , it was just a dream . But in this dream , I consciously decided to kill this man and I actually did it , everything felt so real except the LEGO man part .",Will this person go through with the plan to kill another man ?,"This person is filled with hate , there is only one way to release that hate .","No , the plan was only in a dream , this person has no real intention .","Dream are the subconscious minds way of finding solutions , the solution is given , this man must do it .",None of the above choices .,1,2,[ 1.185  1.366  4.02  -1.269],2,[-21.561714 -19.895376 -19.253275 -23.501379]
1030,3BO3NEOQM2VSJ2H6ZK9L5F8U5WSIAW##3DEL4X4EL90TSZ2Y4ET40V95NNOYX1##A1S1K7134S2VUC##Blog_1235555##q1_a2##35YHTYFL1IHS1ZIE97UWY59FBCUVF9,"I wonder where does all the hate comes from and that I would want this guy dead so much ... I felt like I was taken over by the demon for a moment . And I woke up ... Luckily , it was just a dream . But in this dream , I consciously decided to kill this man and I actually did it , everything felt so real except the LEGO man part .",Will this person go through with the plan to kill another man ?,"The dream plan was not real , there is no reason to believe that a real plan will be made .","This person is filled with hate , there is only one way to release that hate .",None of the above choices .,"Dream are the subconscious minds way of finding solutions , the solution is given , this man must do it .",0,3,[ 1.313  1.185 -1.269  4.02 ],3,[-20.288973 -21.561714 -23.501379 -19.253275]
1032,3V0TR1NRVCGYBVIREV7HBEYB17S4AR##3KRVW3HTZQ0L21RLR1Z67S561HDSM6##A2KYOM2ZGYDJGT##Blog_1525317##q1_a1##31S7M7DAGI4ZOZOLQNXFS0QEBR0TL4,"The assaults took place towards the beginning of the year but I have n't had the heart to write about it til now , and it 's also been compounded by the fact that the victim has a deep and very misplaced sense of shame about her ordeal and did n't want anyone else to know . Apparently after the worst of the beatings she stayed in her car for two days and slept in car parks , too afraid to tell anyone and thought about suicide . Thankfully she did n't succumb and drove to her brother 's house for help .",Why did n't she succumb ?,Because the victim has a deep and very misplaced sense of shame .,None of the above choices .,Because she is strong willed .,Because the assaults took place towards the beginning of the year .,2,1,[-5.5   -1.712 -6.016 -6.254],1,[-28.720503 -24.926115 -27.530764 -31.29961 ]
1033,32CXT5U14G14FGKKC52L0T22H2NU87##39PAAFCODNYQCZZ2AWTNCVWWOOETVN##A2KYOM2ZGYDJGT##Blog_1198613##q1_a1##3XAOZ9UYR1596CSPG9L13G6DTC0Q1H,"We had a great time ! We were concerned at first when our "" Japanese "" chef was named Jesus , but he did a great job and kept it fun for us . We all liked the onion volcano and the rice catching .","Why was the "" Japanese "" chef named Jesus ?",Because he did a great job .,None of the above choices .,Because they had a great time .,Because they were n't Japanese .,3,1,[-1.748  -0.4763 -2.496  -2.727 ],1,[-28.8871   -26.142408 -28.892965 -27.128635]
1043,35NNO802AVUK9WCOOQ2QZN4MCXHINJ##3WYGZ5XF3XDBHOSBMSAQ0HPT6NTSK7##A1OPGPTQJ48XOY##Blog_1414934##q1_a1##37SDSEDINBG308STUF41HPLDZ4N18M,"He was a fabulous hunter : he cleared out all the moles in our yard , then he went after the voles and field mice , and then he went after the garter snakes ( that was rough on me ; he wanted to play with them before he killed them ) and then he went after grasshoppers . We did n't have squirrels at that time , or he would have gone after them , too . Had lunch at a place with red - checked tablecloth .",What did you pay the hunter for the work he did ?,We paid him a salary even though he was a dog the salary would be used on toys for him,We paid him by allowed him to play with and even eat some of the critters,We did n't pay him because our hunter was a dog and did n't require pay,None of the above choices .,2,1,[-3.451  2.775 -2.879 -4.246],1,[-27.677994 -24.25563  -25.229319 -26.499481]
1045,3PUV2Q8SV6IGU16CDK869TCNVO5BDC##3L70J4KAZJ1EYBZEX8EC32O62GHADB##A2KYOM2ZGYDJGT##Blog_719556##q1_a1##3MJ28H2Y1GM59IGS2JV9H1OUQM4O5W,"as usual , whenever i want to swim , the weather will be gray.plus my legs are still aching from the misery 2.4 km anw . Halfway through using my laptop , my mouse just died on me like that . the laptop was suddenly unable to recognise the usb it was connected to . good job , the conflict between the 2 gadgets had to make me pay for the suffereings.my desktop then scratched me so bad i started to bleed .",Why is the weather gray when the writer wants to swim ?,Because the writer is unlucky .,None of the above choices .,Because the writer 's mouse died .,Because the writer 's legs are aching .,0,1,[-1.693 -1.307 -5.68  -4.2  ],1,[-28.511316 -26.272781 -26.343086 -29.896162]
1046,338431Z1FLDFKGFJFSWCS45IPWUORJ##38F71OA9GUUX37NS1KN78VYI52XFMI##AO33H4GL9KZX9##Blog_62247##q1_a1##3LG268AV3AK82E115C5GFQZCE3PER0,"So many retailers offer up to 40 percent discounts on fall merchandise as well as discounts on spring and summer merchandise already on sale . The combination of reduced prices and the sales tax waiver may encourage spending , she says . The UNT Bookstore , largest collegiate bookstore in Texas , is managed by Follett .",Why might they want to encourage spending ?,None of the above choices .,Because more spending means better economy which means less profit in the long run .,Because less spending means worse economy which also means more profit in the long run .,Because more spending means worse economy which also means less profit in the long run .,0,2,[-1.456  3.08   3.379  3.3  ],3,[-25.70004  -28.450981 -25.043465 -24.329575]
1047,3IYI9285WSYXD3Z3HIECVDPAQZHJCL##3KV0LJBBH3JU6XS1SFN1PKC18F0MRQ##AO33H4GL9KZX9##Blog_1147823##q1_a1##3JU8CV4BRNQ92SYBMY4NF7TBHKTPO3,"She 's been alive this entire time ! "" ---I'm not sure where I was in this one ... A vague , generic room . Zoe appeared , and I pet her and hugged her , and she purred . I started to cry , because I suddenly realized I was dreaming .",Why might I have pet and hugged Zoe ?,"Because I knew Zoe was alive , and it was alive the whole time .","Because I thought Zoe was alive , but it was dead the whole time .","Because I thought Zoe was dead , but it was alive the whole time .","Because I thought Zoe was dead , and it was dead the whole time .",2,3,[-5.004 -3.936 -3.092 -2.977],0,[-19.421316 -25.1992   -21.051146 -23.884321]
1048,3N2YPY1GI6WL1WJBUYYQOP0767BVE3##3DYGAII7PM60FZAE7GQT1YWRI7QPQO##AJ7NSZOAFP05U##Blog_1537867##q1_a1##3D5G8J4N5CI2K40F4RZLF9OG2LETVR,"We then drove to a friends house and seemingly ended up in Turkey , where smoke from dozens of hookahs permeated the cool air . Everyone seemed to be speaking Turkish except the TV and I made my way to an old pub on the corner for some VBs to go with our Turkish food . When I opened my eyes the next day I found I was in the middle of a vast city , with huge roads and huge buildings - mausoleums next to sky scrapers . Shiny cars belted up and down freeways that criss - crossed in the air .",What may have caused you to wake up in the middle of a vast city ?,I drank too much .,None of the above choices .,I was drugged as I drank .,The city had turkish food that I wanted .,0,2,[-1.241  -3.309  -0.7812 -4.555 ],2,[-23.714687 -26.424795 -20.179008 -26.230303]
